W001 W002 W003 W004 W005 W006 W007 W008 W009 W010 W011 W012 W013 W014 W015 W016 W017 W018 W019 W020 W021 W022 W023
-84.0 -79 -80 -100.0 -100.0 -100.0 -77.0 -40 -100.0 -75 -84.0 -100.0 -100.0 -100.0 -100.0 -82.0 -79.0 -88.0 -78.0 -100.0 -71 -84.0 -100.0
-84.0 -79 -80 -100.0 -100.0 -100.0 -77.0 -40 -100.0 -75 -84.0 -100.0 -100.0 -100.0 -100.0 -82.0 -79.0 -88.0 -78.0 -100.0 -71 -84.0 -100.0
-84.0 -79 -80 -100.0 -100.0 -100.0 -77.0 -40 -100.0 -75 -84.0 -100.0 -100.0 -100.0 -100.0 -82.0 -79.0 -88.0 -78.0 -100.0 -71 -84.0 -100.0
-79.0 -56 -81 -89.0 -100.0 -100.0 -100.0 -50 -100.0 -69 -100.0 -100.0 -87.0 -100.0 -100.0 -88.0 -86.0 -100.0 -100.0 -100.0 -77 -100.0 -76.0
-79.0 -56 -81 -89.0 -100.0 -100.0 -100.0 -50 -100.0 -69 -100.0 -100.0 -87.0 -100.0 -100.0 -88.0 -86.0 -100.0 -100.0 -100.0 -77 -100.0 -76.0
-79.0 -56 -81 -89.0 -100.0 -100.0 -100.0 -50 -100.0 -69 -100.0 -100.0 -87.0 -100.0 -100.0 -88.0 -86.0 -100.0 -100.0 -100.0 -77 -100.0 -76.0
-84.0 -67 -84 -89.0 -100.0 -100.0 -100.0 -44 -100.0 -74 -100.0 -100.0 -87.0 -100.0 -100.0 -83.0 -81.0 -83.0 -100.0 -100.0 -75 -100.0 -73.0
-84.0 -67 -84 -89.0 -100.0 -100.0 -100.0 -44 -100.0 -74 -100.0 -100.0 -87.0 -100.0 -100.0 -83.0 -81.0 -83.0 -100.0 -100.0 -75 -100.0 -73.0
-84.0 -67 -84 -89.0 -100.0 -100.0 -100.0 -44 -100.0 -74 -100.0 -100.0 -87.0 -100.0 -100.0 -83.0 -81.0 -83.0 -100.0 -100.0 -75 -100.0 -73.0
-84.0 -57 -81 -89.0 -100.0 -100.0 -83.0 -44 -100.0 -79 -100.0 -81.0 -87.0 -87.0 -100.0 -83.0 -83.0 -83.0 -100.0 -90.0 -73 -100.0 -73.0
-84.0 -57 -81 -89.0 -100.0 -100.0 -83.0 -44 -100.0 -79 -100.0 -81.0 -87.0 -87.0 -100.0 -83.0 -83.0 -83.0 -100.0 -90.0 -73 -100.0 -73.0
-84.0 -57 -81 -89.0 -100.0 -100.0 -83.0 -44 -100.0 -79 -100.0 -81.0 -87.0 -87.0 -100.0 -83.0 -83.0 -83.0 -100.0 -90.0 -73 -100.0 -73.0
-76.0 -58 -81 -89.0 -100.0 -100.0 -79.0 -49 -100.0 -82 -100.0 -81.0 -87.0 -87.0 -100.0 -83.0 -80.0 -81.0 -100.0 -90.0 -80 -100.0 -83.0
-76.0 -58 -81 -89.0 -100.0 -100.0 -79.0 -49 -100.0 -82 -100.0 -81.0 -87.0 -87.0 -100.0 -83.0 -80.0 -81.0 -100.0 -90.0 -80 -100.0 -83.0
-76.0 -58 -81 -89.0 -100.0 -100.0 -79.0 -49 -100.0 -82 -100.0 -81.0 -87.0 -87.0 -100.0 -83.0 -80.0 -81.0 -100.0 -90.0 -80 -100.0 -83.0
-84.0 -62 -75 -89.0 -100.0 -100.0 -79.0 -41 -100.0 -74 -100.0 -81.0 -89.0 -87.0 -100.0 -87.0 -81.0 -81.0 -78.0 -90.0 -80 -100.0 -83.0
-84.0 -62 -75 -89.0 -100.0 -100.0 -79.0 -41 -100.0 -74 -100.0 -81.0 -89.0 -87.0 -100.0 -87.0 -81.0 -81.0 -78.0 -90.0 -80 -100.0 -83.0
-84.0 -62 -75 -89.0 -100.0 -100.0 -79.0 -41 -100.0 -74 -100.0 -81.0 -89.0 -87.0 -100.0 -87.0 -81.0 -81.0 -78.0 -90.0 -80 -100.0 -83.0
-74.0 -60 -79 -100.0 -100.0 -100.0 -79.0 -46 -90.0 -79 -88.0 -81.0 -84.0 -87.0 -86.0 -90.0 -81.0 -81.0 -78.0 -90.0 -79 -86.0 -81.0
-74.0 -60 -79 -100.0 -100.0 -100.0 -79.0 -46 -90.0 -79 -88.0 -81.0 -84.0 -87.0 -86.0 -90.0 -81.0 -81.0 -78.0 -90.0 -79 -86.0 -81.0
-74.0 -60 -79 -100.0 -100.0 -100.0 -79.0 -46 -90.0 -79 -88.0 -81.0 -84.0 -87.0 -86.0 -90.0 -81.0 -81.0 -78.0 -90.0 -79 -86.0 -81.0
-74.0 -60 -79 -100.0 -100.0 -100.0 -79.0 -46 -90.0 -79 -88.0 -81.0 -84.0 -87.0 -86.0 -90.0 -81.0 -81.0 -78.0 -90.0 -79 -86.0 -81.0
-82.0 -59 -74 -88.0 -100.0 -100.0 -79.0 -49 -90.0 -70 -88.0 -80.0 -84.0 -89.0 -86.0 -90.0 -80.0 -81.0 -73.0 -89.0 -79 -86.0 -77.0
-82.0 -59 -74 -88.0 -100.0 -100.0 -79.0 -49 -90.0 -70 -88.0 -80.0 -84.0 -89.0 -86.0 -90.0 -80.0 -81.0 -73.0 -89.0 -79 -86.0 -77.0
-82.0 -59 -74 -88.0 -100.0 -100.0 -79.0 -49 -90.0 -70 -88.0 -80.0 -84.0 -89.0 -86.0 -90.0 -80.0 -81.0 -73.0 -89.0 -79 -86.0 -77.0
-82.0 -61 -74 -88.0 -100.0 -100.0 -75.0 -50 -90.0 -72 -88.0 -80.0 -84.0 -89.0 -86.0 -90.0 -80.0 -80.0 -73.0 -89.0 -70 -86.0 -77.0
-82.0 -61 -74 -88.0 -100.0 -100.0 -75.0 -50 -90.0 -72 -88.0 -80.0 -84.0 -89.0 -86.0 -90.0 -80.0 -80.0 -73.0 -89.0 -70 -86.0 -77.0
-82.0 -61 -74 -88.0 -100.0 -100.0 -75.0 -50 -90.0 -72 -88.0 -80.0 -84.0 -89.0 -86.0 -90.0 -80.0 -80.0 -73.0 -89.0 -70 -86.0 -77.0
-81.0 -65 -79 -88.0 -85.0 -100.0 -75.0 -39 -90.0 -80 -88.0 -81.0 -84.0 -89.0 -86.0 -90.0 -81.0 -80.0 -73.0 -89.0 -75 -86.0 -74.0
-81.0 -65 -79 -88.0 -85.0 -100.0 -75.0 -39 -90.0 -80 -88.0 -81.0 -84.0 -89.0 -86.0 -90.0 -81.0 -80.0 -73.0 -89.0 -75 -86.0 -74.0
-81.0 -65 -79 -88.0 -85.0 -100.0 -75.0 -39 -90.0 -80 -88.0 -81.0 -84.0 -89.0 -86.0 -90.0 -81.0 -80.0 -73.0 -89.0 -75 -86.0 -74.0
-81.0 -53 -79 -88.0 -85.0 -100.0 -86.0 -40 -88.0 -77 -88.0 -82.0 -84.0 -88.0 -86.0 -82.0 -81.0 -80.0 -81.0 -89.0 -74 -86.0 -74.0
-81.0 -53 -79 -88.0 -85.0 -100.0 -86.0 -40 -88.0 -77 -88.0 -82.0 -84.0 -88.0 -86.0 -82.0 -81.0 -80.0 -81.0 -89.0 -74 -86.0 -74.0
-81.0 -53 -79 -88.0 -85.0 -100.0 -86.0 -40 -88.0 -77 -88.0 -82.0 -84.0 -88.0 -86.0 -82.0 -81.0 -80.0 -81.0 -89.0 -74 -86.0 -74.0
-75.0 -62 -87 -89.0 -89.0 -100.0 -81.0 -39 -88.0 -79 -100.0 -79.0 -84.0 -91.0 -100.0 -82.0 -81.0 -87.0 -80.0 -89.0 -74 -100.0 -74.0
-75.0 -62 -87 -89.0 -89.0 -100.0 -81.0 -39 -88.0 -79 -100.0 -79.0 -84.0 -91.0 -100.0 -82.0 -81.0 -87.0 -80.0 -89.0 -74 -100.0 -74.0
-75.0 -62 -87 -89.0 -89.0 -100.0 -81.0 -39 -88.0 -79 -100.0 -79.0 -84.0 -91.0 -100.0 -82.0 -81.0 -87.0 -80.0 -89.0 -74 -100.0 -74.0
-75.0 -65 -80 -88.0 -89.0 -100.0 -79.0 -36 -88.0 -76 -100.0 -76.0 -84.0 -86.0 -100.0 -82.0 -79.0 -78.0 -79.0 -100.0 -75 -83.0 -74.0
-75.0 -65 -80 -88.0 -89.0 -100.0 -79.0 -36 -88.0 -76 -100.0 -76.0 -84.0 -86.0 -100.0 -82.0 -79.0 -78.0 -79.0 -100.0 -75 -83.0 -74.0
-75.0 -65 -80 -88.0 -89.0 -100.0 -79.0 -36 -88.0 -76 -100.0 -76.0 -84.0 -86.0 -100.0 -82.0 -79.0 -78.0 -79.0 -100.0 -75 -83.0 -74.0
-75.0 -65 -80 -88.0 -89.0 -100.0 -79.0 -36 -88.0 -76 -100.0 -76.0 -84.0 -86.0 -100.0 -82.0 -79.0 -78.0 -79.0 -100.0 -75 -83.0 -74.0
-75.0 -57 -79 -88.0 -89.0 -100.0 -79.0 -45 -88.0 -68 -100.0 -83.0 -89.0 -86.0 -100.0 -82.0 -79.0 -78.0 -79.0 -91.0 -73 -83.0 -74.0
-75.0 -57 -79 -88.0 -89.0 -100.0 -79.0 -45 -88.0 -68 -100.0 -83.0 -89.0 -86.0 -100.0 -82.0 -79.0 -78.0 -79.0 -91.0 -73 -83.0 -74.0
-75.0 -57 -79 -88.0 -89.0 -100.0 -79.0 -45 -88.0 -68 -100.0 -83.0 -89.0 -86.0 -100.0 -82.0 -79.0 -78.0 -79.0 -91.0 -73 -83.0 -74.0
-75.0 -57 -79 -88.0 -89.0 -100.0 -79.0 -45 -88.0 -68 -100.0 -83.0 -89.0 -86.0 -100.0 -82.0 -79.0 -78.0 -79.0 -91.0 -73 -83.0 -74.0
-75.0 -62 -82 -88.0 -89.0 -100.0 -79.0 -52 -88.0 -75 -100.0 -83.0 -89.0 -86.0 -100.0 -82.0 -84.0 -86.0 -79.0 -91.0 -73 -83.0 -76.0
-75.0 -62 -82 -88.0 -89.0 -100.0 -79.0 -52 -88.0 -75 -100.0 -83.0 -89.0 -86.0 -100.0 -82.0 -84.0 -86.0 -79.0 -91.0 -73 -83.0 -76.0
-75.0 -62 -82 -88.0 -89.0 -100.0 -79.0 -52 -88.0 -75 -100.0 -83.0 -89.0 -86.0 -100.0 -82.0 -84.0 -86.0 -79.0 -91.0 -73 -83.0 -76.0
-75.0 -71 -78 -88.0 -89.0 -100.0 -86.0 -51 -87.0 -83 -100.0 -83.0 -89.0 -86.0 -100.0 -89.0 -84.0 -89.0 -79.0 -91.0 -73 -83.0 -76.0
-75.0 -71 -78 -88.0 -89.0 -100.0 -86.0 -51 -87.0 -83 -100.0 -83.0 -89.0 -86.0 -100.0 -89.0 -84.0 -89.0 -79.0 -91.0 -73 -83.0 -76.0
-75.0 -71 -78 -88.0 -89.0 -100.0 -86.0 -51 -87.0 -83 -100.0 -83.0 -89.0 -86.0 -100.0 -89.0 -84.0 -89.0 -79.0 -91.0 -73 -83.0 -76.0
-78.0 -64 -78 -88.0 -100.0 -100.0 -84.0 -40 -87.0 -82 -100.0 -83.0 -87.0 -86.0 -100.0 -89.0 -84.0 -83.0 -79.0 -91.0 -78 -83.0 -76.0
-78.0 -64 -78 -88.0 -100.0 -100.0 -84.0 -40 -87.0 -82 -100.0 -83.0 -87.0 -86.0 -100.0 -89.0 -84.0 -83.0 -79.0 -91.0 -78 -83.0 -76.0
-78.0 -57 -78 -100.0 -100.0 -100.0 -85.0 -32 -87.0 -70 -100.0 -83.0 -87.0 -100.0 -100.0 -89.0 -82.0 -83.0 -73.0 -91.0 -83 -100.0 -76.0
