W001 W002 W003 W004 W005 W006 W007 W008 W009 W010 W011 W012 W013 W014 W015 W016 W017 W018 W019 W020 W021 W022 W023
-78.0 -44 -72 -91.0 -87.0 -100.0 -90.0 -57 -83 -89.0 -100.0 -72.0 -100.0 -100.0 -93.0 -100.0 -100.0 -93.0 -89.0 -100.0 -84.0 -100.0 -100.0
-73.0 -43 -70 -100.0 -83.0 -100.0 -90.0 -56 -76 -89.0 -100.0 -72.0 -100.0 -100.0 -93.0 -100.0 -100.0 -93.0 -100.0 -100.0 -90.0 -100.0 -88.0
-80.0 -47 -70 -100.0 -84.0 -100.0 -100.0 -52 -73 -89.0 -100.0 -74.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -100.0 -100.0 -100.0 -100.0 -90.0
-86.0 -43 -77 -100.0 -86.0 -100.0 -89.0 -55 -87 -89.0 -100.0 -81.0 -100.0 -100.0 -100.0 -100.0 -90.0 -87.0 -100.0 -100.0 -90.0 -100.0 -100.0
-85.0 -48 -76 -100.0 -88.0 -100.0 -100.0 -49 -91 -83.0 -100.0 -84.0 -100.0 -100.0 -93.0 -100.0 -100.0 -89.0 -100.0 -100.0 -90.0 -100.0 -88.0
-77.0 -43 -80 -100.0 -100.0 -100.0 -89.0 -58 -70 -89.0 -100.0 -72.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -85.0 -100.0 -86.0
-81.0 -48 -75 -100.0 -86.0 -100.0 -90.0 -59 -85 -86.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -88.0 -100.0 -100.0 -79.0 -100.0 -84.0
-80.0 -52 -83 -100.0 -86.0 -100.0 -89.0 -57 -86 -81.0 -100.0 -84.0 -100.0 -100.0 -100.0 -100.0 -100.0 -88.0 -100.0 -100.0 -91.0 -90.0 -100.0
-85.0 -51 -80 -100.0 -83.0 -100.0 -88.0 -58 -85 -81.0 -100.0 -86.0 -100.0 -100.0 -100.0 -100.0 -86.0 -89.0 -100.0 -100.0 -90.0 -100.0 -81.0
-85.0 -54 -76 -100.0 -83.0 -100.0 -100.0 -58 -79 -88.0 -100.0 -81.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -91.0 -88.0 -100.0
-83.0 -55 -79 -100.0 -90.0 -100.0 -89.0 -49 -85 -82.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -90.0 -100.0 -100.0 -89.0 -89.0 -87.0
-88.0 -50 -78 -91.0 -87.0 -100.0 -90.0 -45 -75 -86.0 -100.0 -72.0 -100.0 -100.0 -100.0 -91.0 -100.0 -93.0 -89.0 -100.0 -89.0 -100.0 -88.0
-88.0 -47 -78 -100.0 -89.0 -100.0 -91.0 -46 -91 -86.0 -100.0 -85.0 -100.0 -100.0 -100.0 -100.0 -89.0 -88.0 -100.0 -100.0 -85.0 -100.0 -88.0
-81.0 -49 -79 -100.0 -100.0 -100.0 -89.0 -57 -82 -87.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -91.0 -100.0 -86.0
-79.0 -46 -79 -89.0 -79.0 -100.0 -100.0 -56 -81 -86.0 -100.0 -81.0 -100.0 -100.0 -100.0 -100.0 -90.0 -100.0 -100.0 -100.0 -90.0 -91.0 -88.0
-88.0 -51 -80 -100.0 -85.0 -100.0 -100.0 -45 -78 -89.0 -100.0 -80.0 -100.0 -100.0 -100.0 -100.0 -100.0 -88.0 -100.0 -100.0 -90.0 -90.0 -90.0
-78.0 -44 -72 -91.0 -87.0 -100.0 -90.0 -57 -83 -89.0 -100.0 -72.0 -100.0 -100.0 -93.0 -100.0 -100.0 -93.0 -89.0 -100.0 -84.0 -100.0 -100.0
-78.0 -56 -75 -100.0 -79.0 -100.0 -89.0 -54 -86 -89.0 -100.0 -81.0 -100.0 -100.0 -100.0 -100.0 -90.0 -87.0 -100.0 -100.0 -90.0 -91.0 -88.0
-83.0 -44 -81 -100.0 -82.0 -100.0 -100.0 -59 -81 -90.0 -100.0 -83.0 -100.0 -100.0 -100.0 -100.0 -90.0 -100.0 -100.0 -100.0 -87.0 -100.0 -100.0
-81.0 -53 -80 -100.0 -82.0 -100.0 -91.0 -56 -83 -79.0 -100.0 -84.0 -100.0 -100.0 -100.0 -100.0 -91.0 -90.0 -100.0 -100.0 -87.0 -100.0 -85.0
-73.0 -41 -69 -100.0 -77.0 -100.0 -100.0 -55 -72 -90.0 -100.0 -100.0 -100.0 -100.0 -100.0 -91.0 -100.0 -100.0 -100.0 -100.0 -89.0 -89.0 -87.0
